"","rmeans_nexpr","rmeans_texpr","gene"
"200079_s_at",2400.27253488372,2277.9323255814,"KARS"
"200080_s_at",3984.95720930233,4693.01976744186,"H3F3A /// H3F3AP4 /// H3F3B"
"200081_s_at",3497.29176744186,4106.33681395349,"RPS6"
"200082_s_at",1583.17934883721,1700.92244186047,"RPS7"
"200083_at",1562.18223255814,1683.41120930233,"USP22"
"200084_at",1401.68195348837,1492.40244186047,"C11orf58"
"200085_s_at",147.631739534884,136.891476744186,"TCEB2"
"200086_s_at",4136.83855813954,3788.12069767442,"COX4I1"
"200087_s_at",1856.59818604651,2409.52551162791,"TMED2"
"200088_x_at",5107.20860465116,5554.10139534884,"NBEAL1 /// RPL12"
"200089_s_at",3604.81797674419,3546.4123255814,"RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C"
"200090_at",1934.57195348837,1584.15372093023,"FNTA"
"200091_s_at",2941.39851162791,2745.05451162791,"RPS25"
"200092_s_at",5300.94186046512,5673.07348837209,"RPL37"
"200093_s_at",765.273837209302,888.347790697674,"HINT1"
"200094_s_at",3392.81139534884,2997.41279069767,"EEF2"
"200095_x_at",6993.39930232558,7659.58930232558,"RPS10"
"200096_s_at",1994.96981395349,2085.89379069767,"ATP6V0E1"
"200097_s_at",2060.94041860465,2283.57097674419,"HNRNPK"
"200098_s_at",1324.73581395349,1594.09255813953,"ANAPC5"
"200099_s_at",6333.10930232558,7067.89720930233,"RPS3A /// SNORD73A"
"200593_s_at",778.317232558139,868.743595348837,"HNRNPU"
"200594_x_at",2690.47162790698,2934.37581395349,"HNRNPU"
"200595_s_at",2091.59341860465,1923.19244186047,"EIF3A"
"200596_s_at",844.203025581395,796.381697674419,"EIF3A"
"200597_at",1119.07772093023,1107.41339534884,"EIF3A"
"200598_s_at",662.529186046512,682.549,"HSP90B1 /// MIR3652"
"200599_s_at",1775.59548837209,2104.87334883721,"HSP90B1 /// MIR3652"
"200600_at",1522.14860465116,1089.30979069767,"MSN"
"200601_at",302.49023255814,378.745395348837,"ACTN4"
"200602_at",1998.99965116279,2814.2023255814,"APP"
"200603_at",2584.15509302326,2568.49834883721,"PRKAR1A"
"200604_s_at",495.715079069767,556.083697674419,"PRKAR1A"
"200605_s_at",1300.90290697674,1150.87111627907,"PRKAR1A"
"200606_at",1839.29034883721,3395.38372093023,"DSP"
"200607_s_at",1913.97653488372,1998.14809302326,"RAD21"
"200608_s_at",1299.34372093023,2088.99609302326,"RAD21"
"200609_s_at",989.528348837209,1064.15951162791,"WDR1"
"200610_s_at",1773.62844186047,1859.46788372093,"NCL"
"200611_s_at",391.150302325581,452.687093023256,"WDR1"
"200612_s_at",2056.29095348837,1819.22988372093,"AP2B1"
"200613_at",810.438695348837,915.435774418605,"AP2M1"
"200614_at",5414.9723255814,5636.73627906977,"CLTC"
"200615_s_at",321.004897674419,306.986281395349,"AP2B1"
"200616_s_at",243.273623255814,193.228362790698,"MLEC"
"200617_at",1783.31837209302,1590.79623255814,"MLEC"
"200618_at",2564.55,2591.51674418605,"LASP1"
"200619_at",167.375604651163,154.216893023256,"SF3B2"
"200620_at",2160.29176744186,2192.37720930233,"TMEM59"
